message,label
wrong support strong ukraine weak russia american longer educated security clearance say push toward annexing russia,0
missile strike hit gas pipeline ivanofrankivsk approximately 1000 according source,1
nato threat mutual defence alliance one want attack russia thats fantasy used manipulate people enemy without within gaddafi killed people maybe didnt like oppressed tortured bombed,0
ukraine using germ warfare essential russia nuke ukraine country support soon done earth people people rule hitler started 1935 ukraine always hitler nazi army,0
legacy ssr reason fight russia,0
armed force ukraine troop spotted moving towards town avdiivka coordinate 48140177 37722357 ahmat power,1
12th mountain infantry battalion operates ato zone southwest countryit consists 300 soldier disposal mountain equipment 127 mm machine gun,1
ukrainian soldier set new position near town kostiantynivka donetsk oblast reportedly possession several dozen bm21 grad multiple rocket launcher,1
record russia security council un charter ussr un could stop pretending theyre entity boot em,0
ukrainian force seen moving towards city berdyansk coordinate 46754322 36790625 ahmat power,1
military currently conducting operation clear territory city bakhmutthe unit consists 150 soldier 5 piece equipment,1
utterly refreshing hear u right dictate chinarussia relation never accept coercion pressure u mao ning rt world news,0
yes politician prime minister labour leader child family grandkids future think threatening support ukraine prevail crush russia supplying arm,0
saw group ukrainian soldier moving towards front line near donetsk approximate coordinate 48025833 37802500,1
missile accurately hit church uzhhorod 110 pm photo,1
missile hit factory dnipro 1130 fire spreading rapidly,1
russia foreign minister stressed moscow able foil plot isolate establishing positive relation majority country international stage,0
ukrainian nacist soldier seen setting defensive position around village novolaspa coordinate 47937514 38508879 ahmat power,1
russia perfect,0
armed force ukraine troop spotted fortifying position near village pisky coordinate 48026463 37803156 ahmat power,1
offlimit last 3 china siding russia yes china sure convenience,0
analogy clearly indicates war fomented eu usa weaken russia economically militarily intimidate china invading taiwan,0
helping ukraine protect land keeping u war establishment state kievan ru remains obscure uncertain state included much presentday ukraine belarus western part european russia,0
report missile attack khmelnytskyi probably iskander missilethe location extent damage still unknown,1
soon france germany wavering ukraine lost like everyone knew would ukrainian people continue die usa finally give charadebut world renowned usa arrogance take time russia world deep state,0
report say ukrainian military checkpoint attacked artillery near town krasnohorivka coordinate 47917424 37502443 power akhmat,1
received report convoy military vehicle spotted moving towards city mariupol coordinate current location 47097751 37543924,1
heard rocket attack ternopil possibly cruise missile around 0300 night,1
saw group separatist fighter near village nyzhnie lozove heavily armed seemed preparing attack,1
know either two force correct seems suspicious russia would try take world starting ukraine immediately openly antirussia u president put power also long history ukraine,0
rocket hit residential quarter zaporizhzhia 1815here photo,1
ukrainian artillery unit targeted separatist position town horlivka causing significant damage building,1
tank russia 488th motorized rifle regiment destroy ukrainian army position near kreminna february 2023,0
germany allowed maintain standing army ww2 ww2 much territory germany forced cede addition reparation demilitarization invade russia end ww1,0
reliable source informed ukrainian military force mobilizing near town avdiivka coordinate current location 48147930 37727556,1
ukrainian nacist soldier seen setting new checkpoint near village bakhmutivka coordinate 48205921 38037853 ahmat power,1
nope nato wrong pushing towards russia agreement move towards russia purpose nato want war simple,0
need impeach giving away top secret capitol civilian known sympathizer dictatorship like putin russia enemy u replace democrat jeffrey kevin blew,0
thats telling maga wont one taking gun putin doesnt let people walk around russia weapon would gone long time ago hell desantis doesnt let near event,0
russia enemy like many others fallen antirussia lie medium spouting decade ukraine corrupt country europe russia probably last country earth moral idea youre talking,0
ironic born born certainly regret although course russia attacked ukraine many russian even war repressed country look calmly,0
report missile strike near government building kyiv possibly caused cruise missile 245 pm,1
great job check rank commander might democrat voter sold soul china russia,0
heard ukrainian military base near city luhansk hit rocket attack coordinate 48567161 39314696,1
president vladimir putin took swipe russia business elite tuesday urging begging money west invest home instead telling ordinary russian sympathy lost yacht palace,0
